date;status;no;league;team-a;team-b;time;venue;mvbc;day
20-May;;28;12G;MVBC;Delft Umoja;9:00 - 10:15;UCT 1;mvbc;sat
20-May;;29;12G;Heideveld ;Cape Waves;9:00 - 10:15;UCT 2;;sat
20-May;;30;12B;Cape Waves;Langa Kings;9:00 - 10:15;UCT 3;;sat
20-May;;31;14G;MVBC;Spartans;10:15 - 11:30;UCT 1;mvbc;sat
20-May;;32;12B;MVBC;Delft Umoja;10:15 - 11:30;UCT 2;mvbc;sat
20-May;;33;14G;Cape Waves;WCSS;10:15 - 11:30;UCT 3;;sat
20-May;;34;14B;WCSS;Hout Bay Snipers;11:30 - 12:45;UCT 1;;sat
20-May;;35;14B;MVBC;Eagles;11:30 - 12:45;UCT 2;mvbc;sat
20-May;;36;14B;Spartans ;Turfhall Primary;11:30 - 12:45;UCT 3;;sat
20-May;;37;16G;MVBC;WCSS;12:45 - 14:00;UCT 1;mvbc;sat
20-May;;38;16B;MVBC;Eagles;12:45 - 14:00;UCT 2;mvbc;sat
20-May;;39;16G;Eagles;Mavericks;12:45 - 14:00;UCT 3;;sat
20-May;;40;18B;Eagles 1;Pinelands;14:00 - 15:15;UCT 1;;sat
20-May;;41;16G;Spartans ;Cape Waves;14:00 - 15:15;UCT 2;;sat
20-May;;42;16B;Cape Waves ;WCSS;14:00 - 15:15;UCT 3;;sat
20-May;;43;18G;MVBC;Eagles;15:15 - 16:30;UCT 1;mvbc;sat
20-May;;44;M1;MVBC;Warlords;15:15 - 16:30;UCT 2;mvbc;sat
20-May;;45;16B;Heideveld ;Mavericks;15:15 - 16:30;UCT 3;;sat
20-May;;46;18B;Mavericks;MVBC;16:30 - 17:45;UCT 1;mvbc;sat
20-May;;47;M1;Hellas;DTS;16:30 - 17:45;UCT 2;;sat
20-May;;48;L1;Heideveld ;MVBC;16:30 - 17:45;UCT 3;mvbc;sat
21-May;;49;SLL;MVBC;Gugulethu Hustlers;13:00 - 14:30;UCT 3;mvbc;sun
21-May;;50;SL;Eagles;Maties;14:30 - 16:00;UCT 3;;sun
21-May;;51;SL;MVBC;UWC;16:00 - 17:30;UCT 3;mvbc;sun
21-May;;52;M1;Shaq Squad;Langa Kings;13:00 - 14:30;GSC;;sun
21-May;;53;M1;Delft Umoja;Eagles;14:30 - 16:00;GSC;;sun
21-May;;54;M1;Heideveld ;Alpha Wolves;16:00 - 17:30;GSC;;sun
27-May;;55;12G;Hout Bay Snipers;MVBC;9:00 - 10:15;UCT 1;mvbc;sat
27-May;;56;12B;Cape Waves;MVBC;9:00 - 10:15;UCT 2;mvbc;sat
27-May;;57;12B;Heideveld ;Langa Kings;9:00 - 10:15;UCT 3;;sat
27-May;;58;12B;Hout Bay Snipers;Delft Umoja;10:15 - 11:30;UCT 1;;sat
27-May;;59;14G;Spartans ;Turfhall Primary;10:15 - 11:30;UCT 2;;sat
27-May;;60;14G;MVBC;WCSS;10:15 - 11:30;UCT 3;mvbc;sat
27-May;;61;14G;Heideveld ;Delft Umoja;11:30 - 12:45;UCT 1;;sat
27-May;;62;14B;Heideveld ;Eagles;11:30 - 12:45;UCT 2;;sat
27-May;;63;14B;MVBC;Turfhall Primary;11:30 - 12:45;UCT 3;mvbc;sat
27-May;;64;16G;MVBC;Eagles;12:45 - 14:00;UCT 1;mvbc;sat
27-May;;65;16G;Spartans ;WCSS;12:45 - 14:00;UCT 2;;sat
27-May;;66;16G;Cape Waves;Mavericks;12:45 - 14:00;UCT 3;;sat
27-May;;67;16B;CapeWaves;Hout Bay Snipers;14:00 - 15:15;UCT 1;;sat
27-May;;68;16B;MVBC;Spartans;14:00 - 15:15;UCT 2;mvbc;sat
27-May;;69;16B;WCSS;Eagles;14:00 - 15:15;UCT 3;;sat
27-May;;70;18G;Heideveld ;MVBC;15:15 - 16:30;UCT 1;mvbc;sat
27-May;;71;18B;Eagles 2;Spartans;15:15 - 16:30;UCT 2;;sat
27-May;;72;L1;Eagles;UCT;15:15 - 16:30;UCT 3;;sat
27-May;;73;18B;MVBC;WCSS;16:30 - 17:45;UCT 1;mvbc;sat
27-May;;74;18B;Eagles 1;Heideveld;16:30 - 17:45;UCT 2;;sat
27-May;;75;L1;Panthers;MVBC;16:30 - 17:45;UCT 3;mvbc;sat
28-May;;76;SL;MVBC;Maties;13:00 - 14:30;UCT 1;mvbc;sun
28-May;;77;SLL;UWC;Lethal Ladies;13:00 - 14:30;UCT 2;;sun
28-May;;78;M1;Dragons;Gladiators;13:00 - 14:30;UCT 3;;sun
28-May;;79;SL;CPUT Cats ;Hurricanes;14:30 - 16:00;UCT 1;;sun
28-May;;80;SLL;MVBC;UCT;14:30 - 16:00;UCT 2;mvbc;sun
28-May;;81;M1;Maties;UWC;14:30 - 16:00;UCT 3;;sun
28-May;;82;SL;UCT;Heideveld;16:00 - 17:30;UCT 1;;sun
28-May;;83;SLL;Maties;CPUT Cats;16:00 - 17:30;UCT 2;;sun
28-May;;84;M1;Hanover Park;Hellas;16:00 - 17:30;UCT 3;;sun