day,date,no,league,mvbc,team-a,score-a,score-b,team-b,time,venue
Sun,1 May,49,SLL,,UCT,35,19,Gugulethu Hustlers,16:00,UCT 2
Sun,1 May,48,SL,mvbc,MVBC,85,56,Maties,16:00,UCT 1
Sun,1 May,47,M1,mvbc,MVBC,101,23,Mannenberg,14:30,UCT 2
Sun,1 May,46,SL,,CPUT Alumni,106,53,Gugulethu Hustlers,14:30,UCT 1
Sun,1 May,45,SLL,mvbc,MVBC,45,61,Lethal Ladies,13:00,UCT 2
Sun,1 May,44,M1,,Gugulethu Hustlers,29,85,UCT,13:00,UCT 1
Sat,30 Apr,43,L1,mvbc,Eagles,33,36,MVBC,16:30,UCT 2
Sat,30 Apr,42,M1,,Dragons,49,44,Langa Kings,16:30,UCT 1
Sat,30 Apr,41,L1,,UCT,49,25,Panthers,15:15,UCT 2
Sat,30 Apr,40,18B,mvbc,Pinelands,36,47,MVBC,15:15,UCT 1
Sat,30 Apr,39,18B,,Eagles,71,70,Spartans,14:00,UCT 2
Sat,30 Apr,38,18G,mvbc,MVBC,20,0,WCSS,14:00,UCT 1
Sat,30 Apr,37,16B,mvbc,MVBC,85,33,Gugulethu Hustlers,12:45,UCT 2
Sat,30 Apr,36,16B,,Eagles,48,39,Islamia College,12:45,UCT 1
Sat,30 Apr,35,16G,mvbc,MVBC,pp,,Heideveld,11:30,UCT 1
Sat,30 Apr,34,14B,,Spartans,57,11,Islamia College,11:30,UCT 2
Sat,30 Apr,33,14B,mvbc,Sigcawu Primary,17,46,MVBC,11:30,UCT 1
Sat,30 Apr,32,14B,,Houtbay Snipers,11,70,Heideveld,10:15,UCT 3
Sat,30 Apr,31,14G,,Islamia College,9,18,Gugulethu Hustlers,10:15,UCT 2
Sat,30 Apr,30,14G,mvbc,MVBC,20,0,WCSS,10:15,UCT 1
Sat,30 Apr,29,12B,,Houtbay Snipers,7,11,Islamia College,9:00,UCT 3
Sat,30 Apr,28,12B,mvbc,MVBC,20,0,Langa Kings,9:00,
Sat,30 Apr,27,12G,,Heideveld,27,4,Islamia College,9:00,UCT 1
Sun,24 Apr,26,M1,,Panthers,29,52,UCT,16:00,UCT 2
Sun,24 Apr,25,SL,,Gugulethu Hustlers,65,69,Eagles,16:00,UCT 1
Sun,24 Apr,24,M1,,Maties,57,43,Warlords ,14:30,UCT 2
Sun,24 Apr,23,SL,,UCT,68,49,Heideveld,14:30,UCT 1
Sun,24 Apr,22,SLL,,CPUT Cats 2,98,31,Gugulethu Hustlers,13:00,UCT 2
Sun,24 Apr,21,M1,,Dragons,70,26,Dream Team (DTS),13:00,UCT 1
Sat,23 Apr,20,L1,,Eagles,33,31,UCT,16:30,UCT 2
Sat,23 Apr,19,L1,,Heideveld,43,36,Panthers,16:30,UCT 1
Sat,23 Apr,18,18B,,WCSS,87,65,Eagles,15:15,UCT 2
Sat,23 Apr,17,18B,,Heideveld,87,47,Spartans,15:15,UCT 1
Sat,23 Apr,16,16B,,Gugulethu Hustlers,26,37,Islamia College,14:00,UCT 2
Sat,23 Apr,15,M1,,Warlords ,31,72,Hurricanes,14:00,UCT 1
Sat,23 Apr,14,18G,,Heideveld,58,41,Spartans,12:45,UCT 2
Sat,23 Apr,13,16B,,WCSS,67,99,Spartans,12:45,UCT 1
Sat,23 Apr,12,16B,,Heideveld,122,18,Eagles,11:30,UCT 2
Sat,23 Apr,11,16G,,Gugulethu Hustlers,25,53,WCSS,11:30,UCT 1
Sat,23 Apr,10,14B,,Spartans,36,9,Hout Bay Snipers,10:15,UCT 2
Sat,23 Apr,9,14B,,Heideveld,42,8,Eagles,10:15,UCT 1
Sat,23 Apr,8,14G,,Gugulethu Hustlers,10,18,Heideveld,9:00,UCT 2
Sat,23 Apr,7,12B,,Heideveld,18,13,Hout Bay Snipers,9:00,UCT 1
Sun,17 Apr,6,SLL,,UCT,20,0,Maties,16:00,UCT 2
Sun,17 Apr,5,SL,,CPUT Cats,84,42,Hellas,16:00,UCT 1
Sun,17 Apr,4,M1,,Heideveld,56,14,Warlords ,14:30,UCT 2
Sun,17 Apr,3,SL,,CPUT Alumni,74,81,UCT,14:30,UCT 1
Sun,17 Apr,2,SLL,,Lethal Ladies,51,50,CPUT Cats 1,13:00,UCT 2
Sun,17 Apr,1,M1,,Eagles,48,65,Hurricanes,13:00,UCT 1